hugo_name hugo_id
ALX1 HGNC:1494
ALX3 HGNC:449
ALX4 HGNC:450
ANHX HGNC:40024
AR HGNC:644
ARID3A HGNC:3031
ARID3B HGNC:14350
ARID3C HGNC:21209
ARID5A HGNC:17361
ARID5B HGNC:17362
ARNT HGNC:700
ARNT2 HGNC:16876
ARNTL HGNC:701
ARNTL2 HGNC:18984
ARX HGNC:18060
ASCL1 HGNC:738
ASCL2 HGNC:739
ASCL3 HGNC:740
ASCL4 HGNC:24311
ASCL5 HGNC:33169
ATF1 HGNC:783
ATF2 HGNC:784
ATF3 HGNC:785
ATOH1 HGNC:797
ATOH7 HGNC:13907
BARHL1 HGNC:953
BARHL2 HGNC:954
BARX1 HGNC:955
BARX2 HGNC:956
BHLHA15 HGNC:22265
BHLHE22 HGNC:11963
BHLHE23 HGNC:16093
BHLHE40 HGNC:1046
BHLHE41 HGNC:16617
BSX HGNC:20450
CCDC169-SOHLH2 HGNC:38866
CDX1 HGNC:1805
CDX2 HGNC:1806
CDX4 HGNC:1808
CEBPA HGNC:1833
CEBPB HGNC:1834
CEBPD HGNC:1835
CEBPE HGNC:1836
CEBPG HGNC:1837
CLOCK HGNC:2082
CREB1 HGNC:2345
CREB5 HGNC:16844
CREM HGNC:2352
CRX HGNC:2383
CXXC1 HGNC:24343
DBP HGNC:2697
DBX1 HGNC:33185
DBX2 HGNC:33186
DLX1 HGNC:2914
DLX2 HGNC:2915
DLX3 HGNC:2916
DLX4 HGNC:2917
DLX5 HGNC:2918
DLX6 HGNC:2919
DMBX1 HGNC:19026
DMRT1 HGNC:2934
DMRT2 HGNC:2935
DMRT3 HGNC:13909
DMRTA2 HGNC:13908
DMRTC2 HGNC:13911
DNMT1 HGNC:2976
DRGX HGNC:21536
E2F1 HGNC:3113
E2F2 HGNC:3114
E2F3 HGNC:3115
E2F4 HGNC:3118
E2F5 HGNC:3119
EGR1 HGNC:3238
EGR2 HGNC:3239
EGR3 HGNC:3240
EGR4 HGNC:3241
EHF HGNC:3246
ELF1 HGNC:3316
ELF2 HGNC:3317
ELF3 HGNC:3318
ELF4 HGNC:3319
ELF5 HGNC:3320
ELK1 HGNC:3321
ELK3 HGNC:3325
ELK4 HGNC:3326
EMX1 HGNC:3340
EMX2 HGNC:3341
EN1 HGNC:3342
EN2 HGNC:3343
EOMES HGNC:3372
ERF HGNC:3444
ERG HGNC:3446
ESR1 HGNC:3467
ESR2 HGNC:3468
ESRRA HGNC:3471
ESRRB HGNC:3473
ESRRG HGNC:3474
ESX1 HGNC:14865
ETS1 HGNC:3488
ETS2 HGNC:3489
ETV1 HGNC:3490
ETV2 HGNC:3491
ETV3 HGNC:3492
ETV3L HGNC:33834
ETV4 HGNC:3493
ETV5 HGNC:3494
ETV6 HGNC:3495
ETV7 HGNC:18160
EVX1 HGNC:3506
EVX2 HGNC:3507
FERD3L HGNC:16660
FEV HGNC:18562
FIGLA HGNC:24669
FLI1 HGNC:3749
FOS HGNC:3796
FOSB HGNC:3797
FOSL1 HGNC:13718
FOSL2 HGNC:3798
FOXA1 HGNC:5021
FOXA2 HGNC:5022
FOXA3 HGNC:5023
FOXB1 HGNC:3799
FOXC1 HGNC:3800
FOXC2 HGNC:3801
FOXD3 HGNC:3804
FOXE1 HGNC:3806
FOXG1 HGNC:3811
FOXJ1 HGNC:3816
FOXJ2 HGNC:24818
FOXJ3 HGNC:29178
FOXK1 HGNC:23480
FOXK2 HGNC:6036
FOXL1 HGNC:3817
FOXL2 HGNC:1092
FOXM1 HGNC:3818
FOXN1 HGNC:12765
FOXN2 HGNC:5281
FOXN3 HGNC:1928
FOXN4 HGNC:21399
FOXO1 HGNC:3819
FOXO3 HGNC:3821
FOXO4 HGNC:7139
FOXO6 HGNC:24814
FOXP1 HGNC:3823
FOXP2 HGNC:13875
FOXP3 HGNC:6106
FOXP4 HGNC:20842
FOXS1 HGNC:3735
GABPA HGNC:4071
GATA1 HGNC:4170
GATA2 HGNC:4171
GATA3 HGNC:4172
GATA4 HGNC:4173
GATA5 HGNC:15802
GATA6 HGNC:4174
GBX1 HGNC:4185
GBX2 HGNC:4186
GCM1 HGNC:4197
GCM2 HGNC:4198
GFI1 HGNC:4237
GFI1B HGNC:4238
GLI1 HGNC:4317
GLI2 HGNC:4318
GLI3 HGNC:4319
GLIS3 HGNC:28510
GMEB1 HGNC:4370
GMEB2 HGNC:4371
GSC HGNC:4612
GSC2 HGNC:4613
GSX1 HGNC:20374
GSX2 HGNC:24959
HAND2 HGNC:4808
HBP1 HGNC:23200
HELT HGNC:33783
HES1 HGNC:5192
HES2 HGNC:16005
HES3 HGNC:26226
HES4 HGNC:24149
HES5 HGNC:19764
HES7 HGNC:15977
HESX1 HGNC:4877
HEY1 HGNC:4880
HEY2 HGNC:4881
HEYL HGNC:4882
HHEX HGNC:4901
HIC2 HGNC:18595
HLF HGNC:4977
HLX HGNC:4978
HMBOX1 HGNC:26137
HMG20B HGNC:5002
HMGA1 HGNC:5010
HMGA2 HGNC:5009
HMX1 HGNC:5017
HMX2 HGNC:5018
HMX3 HGNC:5019
HNF1A HGNC:11621
HNF1B HGNC:11630
HNF4A HGNC:5024
