TF gene,PBM filename,TF tested in PBM,AA identity,More info,OLS CV accuracy
"ALX1","Mus_musculus|M01400_1.94d|Berger08|Cart1_0997.1","Alx1",100,"Inferred - Alx1 (100% AA Identity, Mus musculus)",0.663425
"ALX1","Mus_musculus|M01401_1.94d|Berger08|Cart1_1275.1","Alx1",100,"Inferred - Alx1 (100% AA Identity, Mus musculus)",0.312995
"ALX1","Mus_musculus|M01416_1.94d|Berger08|Alx4_1744.1","Alx4",91,"Inferred - Alx4 (91% AA Identity, Mus musculus)",0.537571
"ALX1","Homo_sapiens|M01245_1.94d|Barrera2016|VSX2_REF_R1","VSX2",77,"Inferred - VSX2 (77% AA Identity, Homo sapiens)",0.863523
"ALX1","Mus_musculus|M01388_1.94d|Berger08|Vsx1_1728.1","Vsx1",75,"Inferred - Vsx1 (75% AA Identity, Mus musculus)",0.622551
"ALX1","Tetraodon_nigroviridis|M01478_1.94d|Zoo_01|2002","uncx4.1",73,"Inferred - uncx4.1 (73% AA Identity, Tetraodon nigroviridis)",0.528431
"ALX3","Mus_musculus|M01328_1.94d|Berger08|Alx3_3418.2","Alx3",100,"Inferred - Alx3 (100% AA Identity, Mus musculus)",0.656403
"ALX3","Mus_musculus|M01416_1.94d|Berger08|Alx4_1744.1","Alx4",92,"Inferred - Alx4 (92% AA Identity, Mus musculus)",0.537571
"ALX3","Mus_musculus|M01400_1.94d|Berger08|Cart1_0997.1","Alx1",89,"Inferred - Alx1 (89% AA Identity, Mus musculus)",0.663425
"ALX3","Tetraodon_nigroviridis|M01478_1.94d|Zoo_01|2002","uncx4.1",73,"Inferred - uncx4.1 (73% AA Identity, Tetraodon nigroviridis)",0.528431
"ALX3","Mus_musculus|M01388_1.94d|Berger08|Vsx1_1728.1","Vsx1",71,"Inferred - Vsx1 (71% AA Identity, Mus musculus)",0.622551
"ALX3","Homo_sapiens|M01245_1.94d|Barrera2016|VSX2_REF_R1","VSX2",71,"Inferred - VSX2 (71% AA Identity, Homo sapiens)",0.863523
"ALX4","Mus_musculus|M01416_1.94d|Berger08|Alx4_1744.1","Alx4",100,"Inferred - Alx4 (100% AA Identity, Mus musculus)",0.537571
"ALX4","Mus_musculus|M01328_1.94d|Berger08|Alx3_3418.2","Alx3",92,"Inferred - Alx3 (92% AA Identity, Mus musculus)",0.656403
"ALX4","Mus_musculus|M01400_1.94d|Berger08|Cart1_0997.1","Alx1",91,"Inferred - Alx1 (91% AA Identity, Mus musculus)",0.663425
"ALX4","Homo_sapiens|M01245_1.94d|Barrera2016|VSX2_REF_R1","VSX2",78,"Inferred - VSX2 (78% AA Identity, Homo sapiens)",0.863523
"ALX4","Tetraodon_nigroviridis|M01478_1.94d|Zoo_01|2002","uncx4.1",73,"Inferred - uncx4.1 (73% AA Identity, Tetraodon nigroviridis)",0.528431
"ALX4","Mus_musculus|M01388_1.94d|Berger08|Vsx1_1728.1","Vsx1",73,"Inferred - Vsx1 (73% AA Identity, Mus musculus)",0.622551
"ANHX","Homo_sapiens|M01298_1.94d|Zoo_01|2337","ANHX",100,"Direct",0.778062
"AR","Homo_sapiens|M01983_1.94d|Zoo_01|2329","NR3C2",77,"Inferred - NR3C2 (77% AA Identity, Homo sapiens)",0.485909
"ARID3A","Microcebus_murinus|M00139_1.94d|Zoo_01|6517","ARID3A",100,"Inferred - ARID3A (100% AA Identity, Microcebus murinus)",0.652459
"ARID3A","Mus_musculus|M00142_1.94d|Zoo_01|536","Arid3a",100,"Inferred - Arid3a (100% AA Identity, Mus musculus)",0.629009
"ARID3A","Mus_musculus|M00141_1.94d|Badis09|Arid3a_3875.1=v2","Arid3a",100,"Inferred - Arid3a (100% AA Identity, Mus musculus)",0.449658
"ARID3A","Acyrtosiphon_pisum|M00136_1.94d|Zoo_01|428","ACYPI009013",64,"Inferred - ACYPI009013 (64% AA Identity, Acyrthosiphon pisum)",0.664794
"ARID3B","Mus_musculus|M00141_1.94d|Badis09|Arid3a_3875.1=v2","Arid3a",89,"Inferred - Arid3a (89% AA Identity, Mus musculus)",0.449658
"ARID3B","Mus_musculus|M00142_1.94d|Zoo_01|536","Arid3a",89,"Inferred - Arid3a (89% AA Identity, Mus musculus)",0.629009
"ARID3B","Microcebus_murinus|M00139_1.94d|Zoo_01|6517","ARID3A",89,"Inferred - ARID3A (89% AA Identity, Microcebus murinus)",0.652459
"ARID3B","Acyrtosiphon_pisum|M00136_1.94d|Zoo_01|428","ACYPI009013",64,"Inferred - ACYPI009013 (64% AA Identity, Acyrthosiphon pisum)",0.664794
"ARID3C","Mus_musculus|M00141_1.94d|Badis09|Arid3a_3875.1=v2","Arid3a",86,"Inferred - Arid3a (86% AA Identity, Mus musculus)",0.449658
